,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
America,-110.9,-120.5,-105.9,-85.8,-84.3,-100.3,-104.7,-98.7,-90.6,-69.5,-67.2,-52.2,-39.1,-42.6,-49.4,-52.5,-54.9,-66.3,-91.0,-90.0,-110.7,-148.1,-177.2,-168.3,-146.1,-113.6,-107.5,-140.5
North America,-110.1,-116.8,-103.5,-80.0,-79.3,-96.6,-97.6,-88.6,-77.3,-56.1,-47.8,-28.9,-22.2,-20.2,-20.3,-22.7,-17.7,-28.5,-51.8,-48.7,-75.6,-107.4,-131.1,-129.2,-104.5,-79.8,-69.4,-105.0
Canada,-16.7,-21.3,-15.0,-19.7,-22.3,-23.8,-21.9,-21.7,-15.2,-13.4,-8.5,-5.5,-4.7,-5.7,-6.5,-6.6,-7.8,-8.7,-10.4,-14.8,-18.8,-22.4,-24.5,-29.9,-25.8,-22.4,-23.1,-23.2
United States,-93.4,-95.5,-88.6,-60.3,-57.0,-72.8,-75.6,-66.9,-62.0,-42.7,-39.3,-23.4,-17.5,-14.4,-13.8,-16.1,-9.9,-19.8,-41.4,-33.9,-56.8,-85.0,-106.6,-99.3,-78.7,-57.5,-46.3,-81.8
Latin America,-0.8,-3.7,-2.4,-5.7,-5.0,-3.7,-7.1,-10.1,-13.3,-13.4,-19.4,-23.4,-16.9,-22.5,-29.2,-29.8,-37.1,-37.8,-39.2,-41.3,-35.1,-40.7,-46.1,-39.1,-41.6,-33.8,-38.2,-35.5
Argentina,1.1,0.7,1.0,0.9,1.3,1.1,1.0,0.9,0.9,0.7,0.5,0.5,0.6,0.6,0.7,1.2,1.1,1.1,1.2,1.1,1.4,1.7,1.5,1.5,1.8,1.8,1.5,1.5
Brazil,10.7,11.8,11.4,12.1,12.8,13.6,14.6,14.6,14.6,13.9,14.8,14.6,15.1,16.1,16.1,15.4,14.9,16.4,17.2,13.1,17.7,20.1,18.1,19.9,22.2,22.6,20.8,21.8
Chile,1.7,1.5,0.9,1.1,2.0,2.2,3.7,4.7,4.7,5.1,4.4,2.9,2.9,3.1,4.4,4.0,5.0,6.7,7.2,6.3,6.9,9.7,10.4,9.1,7.2,9.0,10.5,9.8
Colombia,-13.6,-16.5,-14.8,-17.7,-18.5,-18.4,-24.9,-27.7,-30.2,-30.1,-35.6,-39.1,-36.7,-45.8,-51.2,-53.6,-62.0,-64.6,-67.8,-67.6,-69.8,-80.8,-85.1,-80.3,-83.2,-79.7,-84.5,-85.1
Mexico,0.3,0.1,0.8,0.8,0.9,1.3,1.3,1.8,1.8,2.7,3.1,3.8,6.3,7.8,4.7,7.7,8.0,5.6,4.8,6.2,8.1,7.5,7.0,7.9,8.0,8.4,9.0,11.5
