,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2016 - 2017 (%) ,2000 - 2017 (%/year) 
United Kingdom,57,63,62,69,71,75,88,90,93,99,103,101,100,101,103,100,95,96,99,91,99,83,79,78,71,72,81,79,-2.6,-1.6
Norway,2,2,4,4,4,4,3,4,5,5,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,5,-15.3,1.4
Turkey,3,4,5,5,5,7,8,10,10,13,15,16,18,21,22,27,31,37,37,35,38,45,45,46,49,48,46,53,15.3,7.8
CIS,704,716,679,651,602,573,570,547,548,566,567,575,580,608,617,624,633,644,650,599,655,674,666,651,645,618,607,647,6.4,0.8
Kazakhstan,13,13,18,13,10,12,10,9,9,9,8,6,8,10,12,15,18,20,25,24,28,27,25,27,28,29,29,30,3.1,8.3
Russia,472,486,462,448,414,393,389,374,378,386,391,396,396,417,422,425,436,445,446,426,466,476,471,466,465,445,437,471,7.8,1.1
Ukraine,113,115,106,99,88,82,89,79,71,77,74,74,73,79,80,79,71,69,66,50,57,58,53,49,41,33,32,32,-0.5,-4.8
Uzbekistan,40,41,41,44,45,42,44,44,51,52,51,52,55,52,51,49,50,51,53,46,46,51,53,46,47,46,45,45,0.0,-0.8
America,683,689,709,737,755,787,814,844,839,847,888,854,889,886,898,899,898,945,967,945,1001,1018,1063,1085,1106,1123,1138,1134,-0.4,1.4
North America,602,604,622,649,664,691,707,729,713,722,753,717,743,726,726,722,712,753,759,743,779,797,832,851,867,881,899,897,-0.3,1.0
Canada,67,68,71,74,77,81,85,86,83,87,92,87,91,95,93,99,98,99,100,97,97,106,105,112,116,115,125,134,7.1,2.3
United States,535,536,551,575,586,610,622,643,630,635,661,630,651,631,634,623,614,654,659,647,682,691,726,739,750,767,773,762,-1.4,0.8
Latin America,82,85,87,88,91,96,107,115,125,126,135,137,146,159,172,177,186,193,207,202,222,221,231,233,240,242,240,238,-0.9,3.4
Argentina,22,24,25,24,25,28,31,31,33,36,37,35,34,38,41,41,43,46,47,46,46,48,50,50,51,52,55,55,0.1,2.3
Brazil,4,4,4,5,5,5,6,6,6,7,9,12,15,15,19,20,20,21,25,20,27,27,32,38,41,41,35,37,6.8,8.5
Chile,1,1,1,1,1,1,1,2,3,5,6,7,7,8,8,8,7,4,3,3,5,6,5,5,4,4,5,5,-6.2,-1.8
Colombia,4,4,4,5,5,5,5,7,8,7,7,8,8,7,8,8,8,8,9,10,11,10,10,11,11,11,11,11,-1.9,2.4
Mexico,26,27,28,28,29,28,30,34,39,37,40,40,45,50,54,53,58,63,68,66,70,71,74,70,72,75,77,74,-4.6,3.7
Venezuela,17,18,18,19,19,21,24,24,25,22,23,22,22,23,23,24,23,22,28,26,29,24,25,24,23,23,24,24,-0.4,0.1
Asia,146,161,170,179,196,210,226,246,255,274,286,302,321,345,370,392,424,455,478,498,552,595,620,645,663,663,692,740,7.0,5.8
China,16,16,16,17,18,18,19,20,20,21,25,28,29,35,41,47,57,70,81,89,106,131,147,167,184,192,207,238,14.8,14.3
India,13,14,16,16,17,21,21,25,26,28,28,28,30,31,34,38,40,42,43,58,64,64,57,52,50,50,55,58,5.0,4.4
Indonesia,17,19,20,21,26,29,30,33,36,35,31,33,35,36,34,33,36,30,33,39,44,41,41,42,43,43,44,45,0.4,2.1
Japan,59,63,64,66,69,71,74,77,79,83,84,84,87,90,89,89,98,107,105,104,110,128,133,128,130,124,125,129,3.2,2.5
Malaysia,8,12,13,12,15,14,17,20,20,23,27,29,29,30,32,38,40,41,46,38,37,38,38,45,45,44,45,46,2.1,3.2
South Korea,3,4,5,6,8,9,12,15,14,17,19,21,23,24,29,30,33,35,36,34,43,47,51,53,47,44,46,48,3.5,5.6
Taiwan,2,3,3,3,4,4,4,5,6,6,6,7,8,8,9,10,10,11,12,12,15,16,15,16,16,18,18,20,10.0,7.1
Thailand,6,8,8,9,11,11,13,16,17,19,22,26,28,30,31,33,34,36,40,37,42,39,45,48,48,48,47,47,-1.6,4.5
Pacific,23,22,23,23,24,25,26,26,27,28,29,30,32,31,32,31,33,37,37,38,40,40,41,43,44,45,48,49,2.1,3.1
