,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2016 - 2017 (%) ,2000 - 2017 (%/year) 
Taiwan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-17.3,-6.5
Thailand,6,8,8,9,11,11,13,16,17,19,20,19,21,22,22,24,24,26,29,27,32,28,33,36,37,33,31,29,-7.0,2.2
Pacific,25,27,28,30,31,34,36,36,36,38,39,40,41,39,39,40,47,50,52,54,58,61,59,67,73,82,100,117,16.7,6.6
Australia,20,21,23,24,26,29,30,30,31,32,33,34,35,34,34,36,43,45,47,49,53,56,54,62,63,67,84,99,17.8,6.7
New Zealand,5,5,6,5,5,5,5,6,5,6,6,6,6,5,4,4,4,4,4,4,5,4,5,5,5,5,5,5,-1.6,-1.2
Africa,67,73,76,79,75,82,87,98,103,116,124,128,134,148,156,187,197,211,217,202,210,203,212,199,199,198,206,219,6.3,3.4
Algeria,46,50,52,52,48,55,58,67,72,81,82,77,80,84,83,89,87,87,87,83,85,82,85,81,83,84,95,95,-0.3,0.8
Egypt,8,9,10,12,12,13,13,13,14,17,18,23,26,29,32,52,56,60,62,62,57,56,54,48,43,38,38,47,23.8,6.0
Nigeria,4,5,5,6,5,5,5,6,6,7,12,15,14,22,24,24,28,35,35,24,33,38,41,37,42,44,39,44,11.9,7.7
South Africa,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,1,1,1,1,1,1,1,0.6,-1.8
Middle-East,91,96,103,114,130,139,144,158,167,183,196,213,232,249,276,302,328,355,385,404,467,498,521,551,566,585,597,625,4.7,7.1
Iran,23,28,28,31,38,42,42,47,49,57,59,62,70,80,90,99,109,123,128,137,144,150,156,157,175,184,190,209,10.2,7.7
Kuwait,4,1,5,9,9,9,9,9,9,9,10,10,9,10,11,12,12,12,13,11,12,14,16,16,15,17,17,17,-1.5,3.4
Saudi Arabia,24,24,27,28,30,30,31,33,34,34,38,39,46,47,51,56,59,61,67,64,73,75,81,82,85,87,92,98,5.8,5.8
United Arab Emirates,20,24,22,23,27,31,34,36,37,38,37,43,43,44,45,48,49,49,49,47,51,52,54,55,54,60,61,61,0.9,3.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
