,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2016 - 2017 (points) ,2000 - 2017 (points) 
Uzbekistan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-
America,0.60,0.60,0.63,0.62,0.60,0.53,0.54,0.51,0.50,0.53,0.52,0.56,0.62,0.67,0.72,0.80,0.96,1.11,1.45,1.90,2.31,2.77,3.27,3.92,4.48,5.19,6.32,7.50,1.2,7.0
North America,0.53,0.53,0.55,0.55,0.54,0.46,0.47,0.45,0.44,0.48,0.46,0.50,0.58,0.62,0.68,0.77,0.98,1.15,1.59,2.15,2.66,3.26,3.84,4.63,5.16,5.76,6.91,8.13,1.2,7.7
Canada,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.05,0.07,0.08,0.15,0.17,0.26,0.41,0.49,0.61,1.43,1.99,2.09,2.35,3.30,4.03,5.16,5.84,6.50,0.7,6.4
United States,0.61,0.61,0.63,0.64,0.63,0.53,0.55,0.52,0.50,0.54,0.52,0.56,0.66,0.69,0.75,0.85,1.06,1.25,1.73,2.25,2.75,3.43,4.06,4.84,5.34,5.86,7.07,8.41,1.3,7.9
Latin America,0.98,0.99,1.08,1.03,0.94,0.90,0.87,0.80,0.78,0.78,0.82,0.83,0.82,0.87,0.89,0.91,0.86,0.95,0.91,0.98,1.06,1.08,1.40,1.61,2.30,3.37,4.46,5.54,1.1,4.7
Argentina,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.04,0.04,0.04,0.05,0.09,0.08,0.07,0.07,0.07,0.06,0.03,0.03,0.02,0.02,0.28,0.34,0.46,0.42,0.39,0.43,0.0,0.4
Brazil,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.02,0.02,0.06,0.14,0.18,0.27,0.42,0.51,0.91,1.15,2.07,3.73,5.80,7.36,1.6,7.4
Chile,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.06,0.29,0.73,0.51,0.59,0.77,2.69,4.48,6.17,9.48,3.3,-
Colombia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.12,0.09,0.10,0.10,0.07,0.07,0.09,0.08,0.08,0.08,0.06,0.01,-0.1,-
Mexico,4.43,4.23,4.37,4.34,3.81,3.73,3.64,3.27,3.12,2.95,2.88,2.61,2.49,2.67,2.78,2.92,2.62,2.89,2.73,2.75,2.86,2.71,3.12,3.48,4.19,4.92,5.26,5.92,0.7,3.0
Venezuela,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-
Asia,0.37,0.36,0.35,0.32,0.36,0.39,0.41,0.43,0.47,0.51,0.57,0.57,0.55,0.54,0.55,0.56,0.63,0.65,0.83,1.07,1.23,1.56,1.94,2.54,2.93,3.51,4.43,5.63,1.2,5.1
China,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.04,0.05,0.06,0.06,0.06,0.06,0.07,0.09,0.14,0.18,0.44,0.74,1.08,1.55,2.05,2.88,3.27,3.94,5.18,6.77,1.6,6.7
India,0.01,0.01,0.03,0.03,0.05,0.13,0.21,0.22,0.22,0.28,0.30,0.38,0.44,0.55,0.66,0.87,1.26,1.44,1.65,2.06,2.02,2.36,2.87,3.07,3.27,3.50,4.12,5.11,1.0,4.8
