,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2016 - 2017 (points) ,2000 - 2017 (points) 
Mexico,24.69,22.39,25.66,25.4,19.02,23.65,24.66,19.96,17.59,20.91,19.8,17.11,15.06,12.13,14.45,15.2,15.33,14.09,17.54,12.95,16.6,14.89,13.79,13.3,17.54,15.39,15.36,16.56,1.2,-3.2
Venezuela,62.34,70.33,70.09,68.43,72.01,70.05,71.24,73.36,71.6,75.16,73.75,67.07,64.82,65.84,71.1,73.28,73.9,72.72,72.79,71.89,67.49,70.93,67.41,67.83,68.26,63.7,57.6,63.33,5.7,-10.4
China,20.41,18.47,17.58,18.13,18.09,19.21,17.55,17.51,18.06,16.68,16.64,18.96,17.62,15.04,16.22,16.18,15.59,15.26,17.74,17.86,18.83,16.95,20.12,20.45,22.79,24.13,25.4,25.97,0.6,9.3
India,24.49,22.81,20.75,19.56,21.22,17.26,15.77,16.02,16.7,15.26,13.59,13.21,12.06,13.47,14.48,16.62,17.54,17.86,16.51,15.66,16.04,17.32,15.73,17.35,16.25,15.34,15.49,16.29,0.8,2.7
Indonesia,20.92,20.56,23.84,19.78,15.66,16.46,15.53,10.34,15.77,14.12,15.96,17.47,14.95,13.64,13.61,13.61,12.26,12.9,13.32,13.23,15.85,11.99,11.24,12.27,11.48,10.65,12.64,12.32,-0.3,-3.6
Japan,12.16,12.86,11.04,12.62,8.93,10.41,10.1,10.94,10.98,10.17,10.07,9.94,9.64,10.98,10.7,9.2,10.23,9.01,9.37,9.73,11.19,12.16,11.87,12.77,14.48,16.48,16.5,17.79,1.3,7.7
Malaysia,17.33,16.6,14.87,14.03,16.69,13.69,10.09,6.69,8,11.54,10.06,9.93,7.14,6.44,7.09,6.28,7.17,6.66,7.63,7.01,5.99,6.71,7.38,8.58,9.71,9.96,11.02,12.35,1.3,2.3
South Korea,6.04,4.4,3.86,4.15,2.51,3.12,2.73,2.44,2.83,2.6,1.97,1.95,1.66,2.06,1.68,1.43,1.43,1.4,1.54,1.65,1.8,2.05,2.02,2.38,2.47,2.54,2.93,3.36,0.4,1.4
Thailand,11.26,9.14,7.42,5.84,6.34,8.74,9.13,8.09,6.11,4.89,6.81,6.64,7.48,7.22,5.82,5.54,6.92,6.91,6.6,6.9,5.61,8.05,8.39,8.28,8.51,8.54,9.73,11.86,2.1,5.1
Australia,10.08,10.76,10.3,10.78,10.35,9.81,9.39,9.76,8.6,8.71,8.54,8.25,7.93,8.53,8.28,8.92,9.34,8.71,8.17,7.52,8.63,10.44,10.61,13.3,14.92,13.67,15.78,14.95,-0.8,6.4
New Zealand,80.01,77.19,72.59,77.02,82.05,83.85,79.06,70.09,75.65,69.52,71.5,63.56,69.48,66,72.06,64.24,64.48,65.57,64.25,71.71,73.18,76.04,71.87,74.26,79.2,80.08,84.17,81.39,-2.8,9.9
Algeria,0.78,1.58,1.02,1.71,0.78,0.92,0.62,0.33,0.85,0.76,0.2,0.24,0.19,0.83,0.75,1.53,0.58,0.57,0.66,0.75,0.36,0.9,1,0.51,0.36,0.29,0.38,0.62,0.2,0.4
Egypt,23.5,22.35,21.24,21.94,22.25,21.95,20.96,20.52,19.41,21.44,17.7,18.43,14.65,14.06,13,12.14,11.73,13.06,11.9,10.07,10.05,9.33,8.88,8.88,8.87,8.26,8.32,8.45,0.1,-9.3
Nigeria,32.59,41.86,40.85,38.41,35.81,34.68,33.86,34.7,38.22,38.21,38.22,38.22,38.22,36.9,33.4,33,27.1,27.1,27.1,22.9,24.4,21.76,19.71,18.44,17.59,18.2,18.2,18.21,0,-20
South Africa,1.7,2.25,1.24,0.85,1.43,0.97,1.78,2.3,2.07,1.73,2.01,2.01,2.11,1.69,2,1.83,2.41,1.57,1.65,1.78,2.08,2.04,1.76,1.73,2.51,3.4,3.96,4.17,0.2,2.2
Iran,10.29,11,13.88,12.89,9.09,8.58,8.13,7.09,6.8,4.42,3.04,3.91,5.73,7.23,6.39,9.08,9.54,8.89,2.42,3.37,4.16,5.12,4.99,5.71,5.2,5.1,5.72,5.14,-0.6,2.1
Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.26,0.23,0.22,0.57,0.3,-
