,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Uzbekistan,-2.2,-0.4,-0.5,-0.4,-0.4,-1.3,1.1,0.9,1.1,1.2,1.3,0.5,-0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,-1.0,-1.5,-1.9
America,0.4,1.9,1.5,-1.0,-1.2,1.1,-0.2,0.5,1.3,0.6,-0.7,-0.2,3.9,-3.1,-0.1,1.1,2.3,1.6,1.8,2.9,1.0,1.1,2.8,8.2,8.7,7.0,-6.4,-13.6
North America,1.6,3.8,3.3,1.0,0.7,1.6,0.4,-1.7,-0.6,0.1,-1.7,-1.1,2.8,-0.4,0.5,1.1,0.8,0.4,0.6,0.4,1.0,0.6,0.5,7.1,7.6,7.1,-6.1,-14.9
Canada,-0.3,-18.4,-25.1,-27.4,-43.9,-36.0,-37.7,-35.7,-27.3,-28.9,-35.6,-23.1,-20.0,-6.8,-10.8,-23.7,-17.7,-30.9,-32.2,-33.7,-25.0,-36.7,-46.8,-51.9,-45.6,-59.5,-66.4,-65.5
United States,2.0,22.3,28.3,28.4,44.6,37.6,38.0,34.1,26.8,29.0,33.9,22.0,22.8,6.4,11.3,24.7,18.4,31.3,32.8,34.1,26.0,37.3,47.3,59.0,53.2,66.7,60.3,50.7
Latin America,-1.3,-2.0,-1.8,-2.0,-1.9,-0.5,-0.5,2.2,1.9,0.5,1.0,0.9,1.1,-2.7,-0.6,0.0,1.6,1.3,1.2,2.5,0.0,0.6,2.3,1.0,1.1,-0.1,-0.3,1.3
Argentina,0.8,0.9,2.6,1.5,1.0,2.1,3.4,5.2,8.0,5.4,1.2,1.8,5.9,5.0,3.5,3.9,2.4,7.7,5.5,6.2,8.6,9.7,7.6,8.0,9.9,9.0,7.7,7.0
Brazil,26.5,27.1,24.0,27.6,31.8,35.4,36.6,40.5,39.4,40.0,44.3,37.8,36.6,37.1,37.4,39.0,41.2,38.8,42.2,40.0,34.6,35.9,40.3,40.3,33.8,34.4,40.8,40.1
Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.2,1.4,1.8,2.0,1.9,2.2,2.3,1.6,1.2,1.3,1.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
Colombia,0.2,0.2,0.3,0.3,0.3,0.4,0.2,0.2,0.0,0.0,0.0,-0.2,-0.6,-1.1,-1.6,-1.7,-1.8,-0.8,-1.4,-1.1,-0.8,-1.5,-0.7,-1.3,-0.8,-0.4,0.3,0.1
