,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2016 - 2017 (%) ,2000 - 2017 (%/year) 
South Korea,48,58,69,76,81,88,91,97,79,87,90,89,90,90,88,88,87,89,84,87,89,89,92,92,93,98,105,107,1.5,1.1
Taiwan,25,26,26,28,29,32,32,32,33,35,36,38,38,39,41,40,41,43,40,40,42,38,38,39,39,40,40,40,-1.2,0.6
Thailand,17,18,20,23,27,30,34,33,30,31,31,30,34,37,41,41,40,40,38,40,42,44,46,50,50,49,51,52,2.7,3.2
Pacific,36,36,36,36,38,39,40,41,41,42,43,43,43,46,47,47,48,48,50,48,50,52,53,55,55,54,53,56,4.3,1.5
Australia,31,31,30,31,32,33,34,34,35,35,36,36,36,38,39,39,40,40,41,41,42,44,45,47,47,46,45,47,4.2,1.5
New Zealand,4,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,4.4,1.2
Africa,82,83,86,85,83,88,91,96,97,100,100,104,107,109,116,121,122,128,138,144,151,150,160,166,168,174,172,171,-0.6,3.2
Algeria,8,8,8,8,8,7,7,7,7,8,8,8,9,10,10,10,11,12,13,14,14,15,16,17,18,18,18,18,-0.9,4.5
Egypt,21,20,20,20,18,19,20,22,24,24,23,22,23,22,27,27,28,29,31,33,34,34,36,36,38,39,40,38,-6.0,3.1
Nigeria,7,9,10,9,7,8,9,10,9,9,10,12,12,12,12,12,10,9,11,9,12,11,12,11,10,11,11,11,2.8,0.8
South Africa,15,15,15,14,15,16,16,17,17,17,16,17,17,18,19,20,20,23,24,23,23,25,25,26,25,26,25,27,6.8,3.0
Middle-East,133,134,149,154,163,163,172,174,178,186,192,201,209,211,223,239,252,257,271,275,271,275,294,304,306,293,289,295,1.8,2.5
Iran,46,48,53,53,57,56,59,60,59,63,65,68,67,67,70,75,84,86,86,87,78,76,80,87,84,73,70,74,4.8,0.8
Kuwait,4,2,5,4,5,6,6,6,7,9,8,9,10,12,12,13,14,13,16,17,16,15,15,16,15,15,16,16,-0.1,3.7
Saudi Arabia,34,36,39,41,42,41,45,45,48,50,52,55,60,63,68,70,75,78,84,81,84,89,96,99,107,115,114,113,-0.9,4.7
United Arab Emirates,6,7,7,7,7,7,7,7,7,7,7,8,8,9,9,10,10,11,11,13,13,14,14,16,17,15,15,16,2.7,4.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
