,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Uzbekistan,2.1,2.8,1.8,1.3,0.9,-0.1,-0.3,-0.3,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.3,-0.3,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,0.0
America,-19.1,-36.5,-26.8,-27.9,-20.4,-26.8,-17.7,-10.7,-2.6,2.7,7.8,3.9,-3.0,9.4,12.0,35.2,31.2,33.0,6.7,-21.5,0.7,-27.7,-36.4,-45.9,-43.4,-51.5,-45.6,-30.7
North America,18.2,2.1,4.5,-2.7,2.7,-6.8,1.2,-1.1,10.0,13.5,18.4,21.4,14.0,21.0,34.2,52.0,39.1,25.7,-6.0,-24.9,-37.3,-64.0,-84.3,-93.2,-96.8,-112.0,-120.5,-131.9
Canada,-3.6,-5.1,-3.4,-4.9,-4.9,-5.2,-7.1,-6.7,-5.4,-6.4,-7.0,-8.6,-11.3,-9.0,-9.0,-5.1,-5.8,-8.2,-5.2,-7.1,-6.9,-3.2,-10.3,-12.2,-11.0,-10.4,-6.9,-11.2
United States,21.8,7.2,8.0,2.1,7.5,-1.7,8.3,5.6,15.4,19.9,25.4,30.0,25.3,30.0,43.2,57.1,44.9,33.9,-0.8,-17.9,-30.4,-60.8,-74.0,-81.0,-85.8,-101.6,-113.6,-120.7
Latin America,-37.3,-38.6,-31.3,-25.2,-23.0,-19.9,-18.8,-9.6,-12.6,-10.8,-10.6,-17.5,-17.1,-11.6,-22.2,-16.9,-7.9,7.3,12.7,3.4,38.0,36.4,47.8,47.3,53.4,60.4,75.0,101.2
Argentina,-3.6,-3.2,-3.3,-2.8,-1.8,-1.3,-2.1,-3.1,-3.2,-4.0,-3.8,-7.1,-7.5,-7.8,-6.1,-5.5,-4.8,-5.5,-1.2,-0.8,1.4,2.7,2.4,4.1,4.7,4.2,5.2,6.0
Brazil,-1.1,0.9,1.5,7.5,5.3,8.6,10.5,11.0,9.3,9.8,8.6,7.0,5.2,1.6,-0.1,1.1,2.1,4.0,7.4,5.5,15.1,17.5,17.6,16.0,17.8,15.0,16.9,22.8
Chile,0.3,0.6,0.8,0.9,1.4,1.5,2.3,2.1,1.8,1.6,1.0,0.2,1.2,0.5,1.6,2.1,2.0,6.1,6.6,5.7,6.5,6.4,6.6,6.5,6.5,6.7,6.9,6.6
Colombia,-2.5,-2.7,-1.3,-1.4,-1.5,-1.3,-2.3,-2.0,-1.7,-3.6,-3.5,-4.1,-3.7,-3.9,-4.1,-3.6,-3.9,-2.5,-2.5,-2.5,-2.4,-2.6,-2.0,-1.0,0.1,-0.3,0.0,-0.9
