,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Venezuela,-101.9,-117.0,-104.6,-127.2,-131.3,-144.0,-161.0,-179.1,-173.6,-156.7,-163.2,-153.4,-145.0,-125.1,-160.9,-174.5,-169.4,-139.0,-134.7,-133.8,-125.4,-130.7,-119.3,-120.4,-117.5,-121.8,-111.6,-100.3
Asia,463.6,468.9,523.1,577.5,603.2,633.3,668.0,721.4,681.6,731.9,797.3,763.2,806.3,847.8,944.0,921.6,956.4,1026.1,1054.8,1125.0,1264.2,1308.1,1406.8,1468.7,1517.6,1544.1,1667.8,1760.6
China,-35.0,-30.5,-23.2,-3.4,-14.2,-12.7,-11.8,7.4,3.1,14.0,27.9,1.1,19.4,40.1,94.0,100.2,136.0,167.1,186.4,278.0,345.1,401.3,467.4,504.6,509.0,488.9,559.6,620.7
India,31.6,35.1,42.1,44.8,45.9,53.4,61.1,67.4,74.5,87.0,91.4,91.6,96.8,99.8,108.8,121.5,135.6,149.0,163.1,191.5,204.8,217.7,238.8,254.5,290.3,306.8,321.0,336.3
Indonesia,-69.0,-78.9,-79.2,-75.2,-88.3,-83.6,-87.9,-86.7,-91.0,-93.0,-81.2,-81.9,-82.5,-88.6,-87.9,-99.7,-129.5,-135.1,-137.2,-149.5,-166.4,-216.9,-221.5,-236.3,-221.6,-198.9,-176.7,-188.6
Japan,377.5,374.3,385.0,381.8,407.9,408.5,416.4,416.9,401.9,412.2,429.0,413.8,424.2,433.9,439.1,435.8,429.9,436.3,418.4,384.5,409.5,421.7,435.3,437.0,420.1,409.1,403.2,405.0
Malaysia,-25.9,-24.9,-24.9,-23.0,-24.4,-28.3,-30.8,-28.2,-30.7,-28.7,-27.4,-26.1,-27.2,-28.1,-28.8,-28.4,-25.3,-18.7,-17.9,-17.5,-14.1,-7.5,-8.3,-0.9,-1.2,-8.3,-7.3,-6.9
South Korea,70.2,81.6,97.5,111.9,124.7,134.8,147.3,160.2,141.6,152.9,165.8,164.7,172.2,177.6,183.4,175.6,186.0,190.3,195.1,198.1,221.0,227.4,228.6,234.1,232.8,237.0,245.3,255.3
Taiwan,41.7,41.8,46.6,50.5,54.1,59.5,61.6,65.2,69.2,73.2,79.2,81.8,83.9,87.4,96.0,95.1,98.2,101.5,97.4,92.8,102.3,98.9,96.7,98.0,101.7,101.5,103.3,105.9
Thailand,17.8,18.1,20.9,24.7,28.1,32.1,36.6,34.4,29.8,32.0,32.1,34.8,38.8,42.9,48.9,47.9,47.9,48.9,47.6,48.1,51.5,52.3,55.2,58.5,59.6,64.9,66.9,73.6
Pacific,-64.8,-80.8,-84.0,-85.7,-83.9,-88.4,-89.8,-101.5,-110.4,-109.4,-125.9,-131.7,-136.6,-134.6,-136.5,-144.1,-142.0,-150.4,-152.9,-159.0,-181.3,-174.3,-180.8,-205.0,-232.9,-250.8,-259.7,-258.3
Australia,-63.4,-78.7,-81.8,-83.3,-82.3,-88.0,-88.9,-102.0,-111.6,-109.8,-127.1,-133.7,-139.6,-138.7,-141.8,-148.7,-146.1,-155.4,-155.9,-162.5,-185.9,-179.7,-186.7,-210.5,-235.0,-249.6,-259.3,-255.9
New Zealand,2.1,1.9,2.0,2.0,2.8,3.1,2.8,2.7,3.4,3.4,3.4,3.3,3.7,4.4,5.3,4.9,4.8,4.3,2.9,3.5,2.9,3.4,3.7,4.6,4.6,4.9,5.8,6.1
Africa,-288.8,-304.3,-310.2,-308.9,-308.6,-320.3,-334.8,-358.0,-347.3,-355.2,-377.8,-375.3,-375.0,-405.8,-443.9,-480.1,-485.8,-498.5,-481.7,-449.0,-466.5,-373.6,-411.1,-358.7,-319.9,-315.6,-293.8,-297.2
Algeria,-77.5,-78.6,-79.7,-80.1,-77.0,-82.1,-88.8,-97.3,-101.8,-109.7,-115.3,-110.2,-113.7,-124.3,-127.4,-135.2,-130.9,-128.7,-124.6,-112.4,-110.1,-103.9,-97.9,-89.7,-90.0,-89.1,-99.5,-96.9
Egypt,-20.8,-20.8,-22.9,-23.5,-23.3,-22.0,-18.0,-15.4,-13.1,-13.8,-9.7,-8.5,-9.4,-9.8,-6.3,-14.2,-14.0,-13.8,-15.6,-12.8,-11.6,-7.7,-3.7,1.0,7.4,10.6,15.5,14.1
Nigeria,-79.4,-82.4,-85.2,-86.5,-89.2,-90.8,-100.2,-108.4,-97.5,-99.6,-110.1,-115.5,-99.0,-115.8,-130.6,-127.9,-126.6,-128.0,-116.9,-114.6,-134.4,-131.2,-133.4,-114.9,-119.2,-116.7,-99.0,-102.3
South Africa,-21.9,-21.7,-23.8,-26.4,-27.0,-27.6,-26.0,-30.2,-24.0,-30.7,-31.8,-34.2,-35.5,-31.3,-27.3,-30.2,-26.9,-19.1,-11.0,-9.0,-18.5,-16.6,-22.6,-22.1,-18.8,-20.8,-18.8,-21.1
Middle-East,-699.8,-682.9,-750.4,-791.5,-785.6,-792.1,-799.2,-832.3,-894.3,-868.5,-935.5,-899.3,-820.7,-907.8,-974.5,-1006.3,-1000.5,-972.1,-999.1,-901.6,-950.5,-1077.7,-1064.2,-1073.1,-1049.8,-1099.2,-1195.3,-1191.4
Iran,-117.6,-122.6,-133.0,-139.6,-133.4,-135.2,-136.3,-127.2,-128.5,-122.5,-130.2,-116.3,-116.9,-136.7,-136.0,-138.5,-138.8,-141.9,-131.1,-123.4,-131.0,-134.5,-80.4,-74.6,-75.3,-82.4,-116.9,-153.1
Kuwait,-41.3,-7.6,-50.5,-93.9,-98.6,-99.2,-99.7,-99.3,-99.4,-88.7,-95.1,-91.4,-79.7,-98.1,-106.9,-118.4,-123.0,-118.4,-122.3,-97.5,-101.7,-121.9,-137.4,-135.4,-133.3,-130.8,-138.4,-130.7
Saudi Arabia,-307.0,-391.9,-395.8,-387.5,-373.9,-376.0,-375.1,-374.5,-383.0,-344.9,-373.9,-359.6,-315.5,-388.9,-421.1,-444.3,-427.2,-401.6,-413.6,-354.0,-349.0,-404.6,-424.5,-418.7,-407.1,-423.1,-456.4,-426.4
United Arab Emirates,-80.5,-91.2,-99.1,-95.0,-93.7,-95.6,-97.2,-102.6,-105.2,-96.9,-109.9,-103.1,-97.2,-110.5,-114.0,-116.2,-122.9,-115.5,-107.6,-91.5,-98.0,-119.1,-121.6,-126.6,-121.2,-132.9,-138.0,-133.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
