Country,Year,Agriculture,Mining,Manufacturing,Construction,Wholesale,Transport,Other_Activities
Brazil,1997,5.10596819,18.67728908,15.19692987,5.700904368,10.12168549,4.001808825,56.39234405
Brazil,1998,5.220080808,18.03796378,14.30757284,5.856531897,10.10245038,4.171621866,56.61135127
Brazil,1999,5.19705864,18.96227821,14.74731723,5.38006617,10.05094292,4.124774245,56.28487982
Brazil,2000,5.458682798,21.44731802,16.16581469,5.41026899,11.3064308,6.162100958,50.21519843
Brazil,2001,5.805495511,20.7771484,16.0437636,5.202241321,11.13184131,6.197093701,50.88617976
Brazil,2002,6.409995039,20.91213653,15.72905428,5.147674553,10.75782563,6.041284827,50.73108342
Brazil,2003,7.193264648,22.36705452,16.90672667,4.595115418,10.91063011,6.035884338,48.89805096
Brazil,2004,6.673519865,23.69498952,17.7866677,4.937280957,11.48559682,7.99333854,45.21527431
Brazil,2005,5.478431818,23.88273829,17.35965118,4.589206514,12.35615083,8.047940276,45.64553227
Brazil,2006,5.138071458,23.33388295,16.58857215,4.347949141,13.04558949,7.788589054,46.3459179
Brazil,2007,5.18001581,22.55629762,16.59961572,4.56433063,13.67484597,8.116029216,45.90848075
Brazil,2008,5.408425586,22.96251708,16.52324255,4.3709518,14.02434288,8.343765563,44.88999709
Brazil,2009,5.235978905,20.16300863,15.27414629,5.425854331,14.70438667,8.126148867,46.3446226
Brazil,2010,4.842256967,21.11004469,14.96748253,6.265123348,14.72771918,8.120344915,44.93451091
Brazil,2011,5.107539093,20.89767908,13.861293,6.277286605,15.06791766,8.132406172,44.51717139
Brazil,2012,4.901863805,19.55042414,12.55467717,6.478266275,15.69443946,8.097045155,45.27796116
Brazil,2013,5.276738344,18.46792541,12.26970679,6.382440006,15.85841151,7.925977654,46.08850708
Brazil,2014,5.026912761,17.61904015,12.01302945,6.172580315,16.11777344,7.970806401,47.09288693
Brazil,2015,5.023022534,16.77309784,12.23548913,5.741677837,15.67900619,7.807140234,48.97605536
Brazil,2016,5.506693776,16.52996818,12.18075149,4.90404322,16.31092517,8.113326318,48.63504334
Brazil,2017,5.18620907,16.97321646,12.14314141,5.604697101,16.03652417,7.964087246,48.23526595
