,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
America,1.0,0.5,0.4,0.6,0.1,-1.2,0.7,0.8,-2.1,2.0,-1.1,-2.4,0.9,-1.5,1.1,1.3,-0.4,3.0,-8.2,-4.7,0.1,-4.6,-5.5,-1.7,-2.4,0.2,-7.0,-24.0
North America,0.9,-0.8,-1.8,0.4,-0.6,-2.4,-0.1,-0.2,-3.6,2.6,0.6,-2.2,-2.0,0.6,2.0,5.5,5.6,11.9,-2.5,1.3,-0.1,-6.8,-15.5,-18.6,-22.7,-32.2,-42.0,-63.1
Canada,-40.0,-47.4,-56.2,-62.2,-70.4,-78.4,-78.9,-80.5,-88.4,-94.3,-99.6,-104.3,-101.1,-91.8,-94.4,-96.7,-92.4,-95.3,-88.0,-74.6,-72.9,-61.4,-57.0,-55.8,-56.1,-58.6,-61.4,-60.1
United States,41.0,46.6,54.4,62.6,69.7,76.1,78.8,80.3,84.8,96.9,100.2,102.0,99.1,92.4,96.4,102.3,98.0,107.2,85.5,75.9,72.8,54.6,41.5,37.1,33.4,26.5,19.4,-3.1
Latin America,0.0,1.3,2.2,0.2,0.7,1.2,0.7,1.0,1.6,-0.6,-1.7,-0.1,2.9,-2.1,-0.9,-4.3,-6.0,-8.9,-5.7,-6.0,0.2,2.2,10.0,16.9,20.3,32.4,35.0,39.1
Argentina,2.2,2.2,2.1,1.7,2.3,2.1,2.1,1.0,-0.2,-3.0,-4.6,-6.2,-5.7,-6.7,-5.6,-4.9,-4.5,-1.0,0.3,1.5,3.1,6.6,9.0,11.4,11.6,11.2,10.2,10.7
Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.2,4.5,5.3,5.0,7.9,8.8,9.6,10.2,11.2,8.4,12.4,10.3,13.0,16.7,19.0,18.1,11.5,10.6
Chile,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.7,2.0,3.8,4.4,5.2,5.2,6.1,6.8,6.3,5.7,2.8,0.8,1.5,3.6,4.0,3.9,3.9,3.5,3.7,4.0,3.7
Colombia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,-1.9,-1.6,-2.1,-1.9,-1.9,-1.9,-0.4,0.4,0.7
Mexico,0.4,1.7,2.6,0.9,1.1,1.6,0.5,0.7,1.2,0.3,2.7,3.7,7.5,10.3,11.6,9.1,10.2,9.9,12.3,12.7,14.4,17.6,23.1,26.8,28.8,36.4,43.1,43.9
Venezuela,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.2,1.5,1.9,1.9,1.6,1.9,0.8,0.4,-0.1,-0.1
Asia,6.4,8.7,9.9,10.9,12.2,15.5,15.6,20.3,20.7,23.7,30.2,41.3,39.9,47.4,49.4,51.8,72.4,89.5,96.8,96.3,120.0,161.9,184.5,201.3,206.5,201.2,228.7,262.8
China,0.0,0.0,0.0,0.0,0.0,0.0,-1.6,-2.6,-2.4,-2.7,-2.4,-2.4,-3.2,-1.9,-2.4,-3.0,-1.9,1.4,1.4,4.4,11.0,26.1,37.0,47.1,53.6,55.0,69.0,88.2
India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.3,6.6,8.9,10.8,10.9,12.0,12.9,18.0,17.5,17.4,17.7,19.1,23.9,25.4
Indonesia,-30.2,-32.9,-34.5,-35.3,-38.7,-36.4,-38.8,-39.3,-39.3,-42.5,-39.6,-36.0,-40.9,-42.4,-42.1,-41.6,-40.6,-39.5,-39.6,-37.5,-41.2,-40.6,-37.0,-34.6,-33.3,-31.7,-29.2,-25.2
