ID,country,points,price,province,region_1,taster_name,title,variety,winery
93,Austria,88,12,Burgenland,,Anne Krebiehl MW,Fuchs 2015 Grüner Veltliner (Burgenland),Grüner Veltliner,Fuchs
94,US,88,22,Washington,Columbia Valley (WA),Sean P. Sullivan,Gård 2014 Grand Klasse Reserve Lawrence Vineyards Viognier (Columbia Valley (WA)),Viognier,Gård
95,France,88,20,Beaujolais,Juliénas,Roger Voss,Henry Fessy 2015  Juliénas,Gamay,Henry Fessy
96,France,88,18,Beaujolais,Régnié,Roger Voss,Henry Fessy 2015  Régnié,Gamay,Henry Fessy
97,US,88,20,New York,Finger Lakes,Anna Lee C. Iijima,Heron Hill 2015 Ingle Vineyard Riesling (Finger Lakes),Riesling,Heron Hill
98,Italy,88,30,Tuscany,Morellino di Scansano,Kerin O’Keefe,Serpaia di Endrizzi 2010 Dono Riserva  (Morellino di Scansano),Sangiovese,Serpaia di Endrizzi
99,US,88,75,California,Napa Valley,Virginie Boone,Soquel Vineyards 2013 Intreccio Library Selection Red (Napa Valley),Bordeaux-style Red Blend,Soquel Vineyards
100,US,88,18,New York,Finger Lakes,Anna Lee C. Iijima,Ventosa 2015 Pinot Gris (Finger Lakes),Pinot Gris,Ventosa
101,US,87,20,New York,Finger Lakes,Anna Lee C. Iijima,Lamoreaux Landing 2014 Red Oak Vineyard Riesling (Finger Lakes),Riesling,Lamoreaux Landing
102,US,87,20,New York,Finger Lakes,Anna Lee C. Iijima,Lamoreaux Landing 2014 Yellow Dog Vineyard Riesling (Finger Lakes),Riesling,Lamoreaux Landing
103,Chile,87,18,Leyda Valley,,Michael Schachner,Leyda 2015 Single Vineyard Falaris Hill Chardonnay (Leyda Valley),Chardonnay,Leyda
104,Italy,87,16,Tuscany,Toscana,Kerin O’Keefe,Madonna Alta 2014 Nativo Red (Toscana),Red Blend,Madonna Alta
105,Italy,87,14,Tuscany,Toscana,Kerin O’Keefe,Marchesi Antinori 2015 Villa Antinori White (Toscana),White Blend,Marchesi Antinori
106,Italy,87,30,Tuscany,Toscana,Kerin O’Keefe,Marchesi de' Frescobaldi 2014 Castiglioni Red (Toscana),Red Blend,Marchesi de' Frescobaldi
107,Italy,87,18,Tuscany,Toscana,Kerin O’Keefe,Marchesi de' Frescobaldi 2015 Ammiraglia Massovivo Vermentino (Toscana),Vermentino,Marchesi de' Frescobaldi
108,US,87,26,California,Santa Clara Valley,Matt Kettmann,Martin Ranch 2014 J.D. Hurley Zinfandel (Santa Clara Valley),Zinfandel,Martin Ranch
109,Italy,87,30,Tuscany,Toscana,Kerin O’Keefe,Ornellaia 2014 Le Volte Red (Toscana),Red Blend,Ornellaia
110,France,87,23,Beaujolais,Brouilly,Roger Voss,Pardon et Fils 2015 Les Quartelets  (Brouilly),Gamay,Pardon et Fils
111,US,87,85,California,Yountville,Virginie Boone,Piña 2013 Wolff Vineyard Cabernet Sauvignon (Yountville),Cabernet Sauvignon,Piña
112,Italy,87,15,Tuscany,Toscana,Kerin O’Keefe,Podere Ciona 2014 Semifonte Red (Toscana),Red Blend,Podere Ciona
113,Italy,87,19,Tuscany,Toscana,Kerin O’Keefe,Poggioventoso 2015 Poetico White (Toscana),White Blend,Poggioventoso
114,US,87,18,California,Paso Robles,Matt Kettmann,Pull 2012 BDX Red (Paso Robles),Bordeaux-style Red Blend,Pull
115,US,87,18,California,Paso Robles,Matt Kettmann,Pull 2013 Chardonnay (Paso Robles),Chardonnay,Pull
116,US,87,25,California,Santa Ynez Valley,Matt Kettmann,R2 2013 Camp 4 Vineyard Grenache Blanc (Santa Ynez Valley),Grenache Blanc,R2
117,US,87,44,California,Central Coast,Matt Kettmann,Rideau 2014 Estate Syrah,Syrah,Rideau
118,Italy,87,80,Tuscany,Toscana,Kerin O’Keefe,Tenuta Forconi 2013 Toscano Red (Toscana),Red Blend,Tenuta Forconi
119,France,92,80,Alsace,Alsace,,Dopff & Irion 2004 Schoenenbourg Grand Cru Vendanges Tardives Riesling (Alsace),Riesling,Dopff & Irion
120,Italy,92,70,Piedmont,Barolo,,Ceretto 2003 Bricco Rocche Prapó  (Barolo),Nebbiolo,Ceretto
121,US,92,36,California,Alexander Valley,,Matrix 2007 Stuhlmuller Vineyard Chardonnay (Alexander Valley),Chardonnay,Matrix
122,US,92,39,California,Rockpile,,Mauritson 2007 Rockpile Cemetary Vineyard Zinfandel (Rockpile),Zinfandel,Mauritson
123,Australia,92,40,South Australia,Padthaway,Joe Czerwinski,Henry's Drive Vignerons 2006 Parson's Flat Shiraz-Cabernet Sauvignon (Padthaway),Shiraz-Cabernet Sauvignon,Henry's Drive Vignerons
124,US,92,45,California,Napa Valley,,Silverado 2006 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Silverado
125,South Africa,91,45,Stellenbosch,,Roger Voss,Le Riche 2003 Cabernet Sauvignon Reserve Cabernet Sauvignon (Stellenbosch),Cabernet Sauvignon,Le Riche
126,France,91,48,Alsace,Alsace,,Pierre Sparr 2007 Vendages Tardives Gewurztraminer (Alsace),Gewürztraminer,Pierre Sparr
127,France,91,13,Alsace,Alsace,,Pierre Sparr 2008 Alsace One White (Alsace),White Blend,Pierre Sparr
128,France,91,17,Alsace,Alsace,,Kuentz-Bas 2008 Pinot Blanc (Alsace),Pinot Blanc,Kuentz-Bas
129,South Africa,91,25,Stellenbosch,,,Camberley 2004 Philosophers' Stone Red (Stellenbosch),Bordeaux-style Red Blend,Camberley
130,Italy,91,70,Piedmont,Barolo,,Ceretto 2003 Bricco Rocche Brunate  (Barolo),Nebbiolo,Ceretto
131,France,91,20,Alsace,Alsace,,Dopff & Irion 2008 Gentil White (Alsace),Alsace white blend,Dopff & Irion
132,South Africa,91,30,Simonsberg-Stellenbosch,,Roger Voss,Delheim 2001 Grand Reserve Cabernet Sauvignon (Simonsberg-Stellenbosch),Cabernet Sauvignon,Delheim
133,Italy,91,68,Piedmont,Barolo,,Poderi Luigi Einaudi 2003  Barolo,Nebbiolo,Poderi Luigi Einaudi
134,US,91,78,California,Napa Valley,,Clark-Clauden 2007 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Clark-Clauden
135,Italy,91,60,Piedmont,Barolo,,Giacomo Ascheri 2001 Sorano  (Barolo),Nebbiolo,Giacomo Ascheri
136,France,91,50,Bordeaux,Saint-Émilion,Joe Czerwinski,Lassègue 2003  Saint-Émilion,Bordeaux-style Red Blend,Lassègue
137,South Africa,90,,Walker Bay,,Roger Voss,Beaumont 2005 Hope Marguerite Chenin Blanc (Walker Bay),Chenin Blanc,Beaumont
138,France,90,10,Alsace,Alsace,,Dopff & Irion 2008 Crustacés White (Alsace),Alsace white blend,Dopff & Irion
139,France,90,112,Alsace,Alsace,,Kuentz-Bas 2007 Cuvée Jerémy Sélection de Grains Nobles Pinot Gris (Alsace),Pinot Gris,Kuentz-Bas
140,Italy,90,26,Piedmont,Barbera d'Alba,,Poderi Colla 2005 Costa Bruna  (Barbera d'Alba),Barbera,Poderi Colla
141,Italy,90,45,Piedmont,Barolo,,Giacomo Ascheri 2003 Vigna dei Pola  (Barolo),Nebbiolo,Giacomo Ascheri
142,US,90,17,California,Santa Lucia Highlands,,Banyan 2007 Riesling (Santa Lucia Highlands),Riesling,Banyan
143,France,90,84,Alsace,Alsace,,Domaine Zind-Humbrecht 2007 Hunawihr Clos Windsbuhl Pinot Gris (Alsace),Pinot Gris,Domaine Zind-Humbrecht
144,US,91,85,California,Spring Mountain District,Virginie Boone,Terra Valentine 2013 K Block Cabernet Sauvignon (Spring Mountain District),Cabernet Sauvignon,Terra Valentine
145,US,91,64,California,Santa Lucia Highlands,Matt Kettmann,Testarossa 2013 Guidotti Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Testarossa
146,US,91,68,California,Santa Ynez Valley,Matt Kettmann,Vincent Vineyards 2010 Family Reserve Cabernet Sauvignon (Santa Ynez Valley),Cabernet Sauvignon,Vincent Vineyards
147,US,91,68,California,Santa Ynez Valley,Matt Kettmann,Vincent Vineyards 2012 Family Reserve Cabernet Sauvignon (Santa Ynez Valley),Cabernet Sauvignon,Vincent Vineyards
148,Germany,91,16,Rheinhessen,,Anna Lee C. Iijima,Weingut Liebfrauenstift 2014 Dry Riesling (Rheinhessen),Riesling,Weingut Liebfrauenstift
149,US,91,35,California,Monterey,Matt Kettmann,Wrath 2013 Destruction Level Red (Monterey),Rhône-style Red Blend,Wrath
150,US,91,25,California,Napa Valley,Virginie Boone,Yardstick 2013 Ruth's Reach Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Yardstick
