,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2016 - 2017 (%) ,2000 - 2017 (%/year) 
America,1040,1011,1008,964,1053,1058,1091,1123,1148,1125,1106,1161,1123,1109,1165,1195,1232,1226,1244,1146,1163,1187,1112,1086,1106,989,836,871,4.3,-1.4
North America,1002,975,971,927,1010,1012,1041,1067,1089,1069,1041,1092,1059,1034,1085,1109,1138,1127,1144,1050,1064,1073,999,973,988,876,722,760,5.3,-1.8
Canada,68,71,66,69,73,75,76,79,75,72,69,70,67,62,66,70,70,74,68,63,68,67,66,69,70,62,61,59,-2.3,-0.9
United States,934,904,905,858,938,937,965,989,1014,996,972,1021,993,972,1019,1039,1068,1053,1076,988,996,1006,932,904,918,814,661,701,6.0,-1.9
Latin America,38,36,37,38,43,46,50,55,59,57,65,70,64,75,80,87,94,99,100,96,99,114,114,114,118,113,114,111,-2.5,3.2
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-30.0,-14.9
Brazil,5,5,5,5,5,5,5,6,6,6,7,6,5,5,5,6,6,6,7,6,5,6,7,9,8,8,7,7,-0.3,0.2
Chile,2,2,2,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,1,1,1,3,4,3,3,2,-18.3,10.7
Colombia,21,20,22,21,23,26,30,33,34,33,38,44,40,50,54,59,66,70,74,73,74,86,89,85,89,86,91,89,-1.2,5.1
Mexico,7,6,6,7,9,9,10,10,11,10,11,11,11,12,13,13,15,16,14,13,15,20,16,15,15,15,13,12,-8.7,0.5
Venezuela,2,2,2,4,4,4,4,5,7,7,8,8,7,7,7,7,7,6,5,3,3,2,1,1,1,1,0,0,-52.5,-21.4
Asia,1376,1399,1441,1488,1586,1752,1818,1790,1747,1735,1851,1979,2085,2404,2739,3035,3328,3576,3732,4017,4342,4736,4864,4979,4917,4825,4519,4679,3.5,5.6
China,1040,1041,1073,1112,1203,1339,1379,1336,1296,1264,1355,1450,1539,1819,2089,2317,2520,2722,2844,3043,3316,3608,3678,3749,3640,3563,3242,3349,3.3,5.5
India,225,245,255,262,272,290,308,319,316,324,336,350,364,386,410,437,462,491,525,566,570,582,603,610,657,683,708,717,1.3,4.6
Indonesia,10,13,22,28,31,42,50,55,61,74,79,94,102,117,144,171,233,249,249,291,325,405,451,492,488,454,422,461,9.4,10.9
